n,a_x,a_y,a_z,p,time,g_x,g_y,g_z,rot_x,rot_y,rot_z,t,rh,mag_x,mag_y,mag_z,ext_lat,ext_lon,ext_alt,ext_p,ext_BMP180temp,ext_BMP180altEst,ext_ST21temp,ext_rh
0,0.02766098,0.08842325,-0.092785835,891.9662,Thu Nov 17 19:43:28 MST 2016,-0.20047994,6.1325564,7.649964,0.017257739,0.3311534,0.9400333,0.0,0.0,4.1130066,-45.663452,-24.861526,47.1,145.1,1168.1,531.1,0.1,28010.35,14.9,4.1
1,-0.03755313,0.017893314,-0.008542538,891.96893,Thu Nov 17 19:43:29 MST 2016,-0.33458063,6.178697,7.6080317,0.008174205,0.3347111,0.93938243,0.0,0.0,4.121399,-45.321274,-25.14038,52.1,152.1,1173.1,755.1,2.9,26880.05,18.9,1.1
2,3.1554627,0.0656302,-0.21488571,891.9801,Thu Nov 17 19:43:30 MST 2016,-2.3853173,2.1107433,9.274988,0.15355922,-0.059386596,-0.9247184,0.0,0.0,-2.6248932,-33.005524,-36.027527,52.1,152.1,1173.1,755.1,2.9,26880.05,18.9,1.1
3,0.23251024,-0.6305955,0.027762413,891.9701,Thu Nov 17 19:43:31 MST 2016,-0.29096574,0.5357954,9.787678,0.02245742,-0.02151632,-0.95208555,0.0,0.0,-3.0052185,-11.101913,-47.885895,45.1,145.1,1144.1,800.1,12.1,26686.77,12.1,14.1
4,0.07058087,-0.17341448,0.005558014,891.9613,Thu Nov 17 19:43:32 MST 2016,-0.09802429,0.019357601,9.806142,0.006835551,-0.0021077243,-0.9613542,0.0,0.0,-7.9833984,-10.873413,-47.98355,45.1,145.1,1144.1,800.1,12.1,26686.77,12.1,14.1
5,0.013335429,-0.012708925,0.00223732,891.92957,Thu Nov 17 19:43:33 MST 2016,-0.06403785,-0.07402994,9.806162,0.0020767548,0.0045381435,-0.9599363,0.0,0.0,-7.8144073,-11.295319,-47.79625,53.1,147.1,1180.1,722.1,8.9,27027.81,2.9,13.1
6,0.0016836487,-0.002729781,-0.006542206,891.9091,Thu Nov 17 19:43:34 MST 2016,-0.059727672,-0.08609935,9.80609,0.0016405088,0.005084675,-0.956964,0.0,0.0,-7.9036713,-11.29837,-47.611237,53.1,147.1,1180.1,722.1,8.9,27027.81,2.9,13.1
7,0.007446941,2.8675795E-4,-1.2493134E-4,891.9114,Thu Nov 17 19:43:35 MST 2016,-0.05569352,-0.083073534,9.806141,0.0014897797,0.004876936,-0.9570453,0.0,0.0,-7.985306,-10.956955,-48.260498,44.1,145.1,1097.1,820.1,2.1,26603.68,5.1,8.1
8,0.0014232099,-0.0018877685,0.0026359558,891.9024,Thu Nov 17 19:43:36 MST 2016,-0.05373536,-0.08831775,9.806105,0.0013205298,0.0051029143,-0.9572609,0.0,0.0,-8.15773,-10.702515,-48.908997,44.1,145.1,1097.1,820.1,2.1,26603.68,5.1,8.1
9,0.0021077804,0.0015849695,0.0035171509,891.9016,Thu Nov 17 19:43:37 MST 2016,-0.052408766,-0.091447696,9.806084,0.001212078,0.005235558,-0.9573953,0.0,0.0,-7.6301575,-11.035538,-47.89009,46.1,152.1,1106.1,723.1,3.9,27023.26,7.9,13.1
10,-0.003644649,0.0019542053,0.003909111,891.90344,Thu Nov 17 19:43:38 MST 2016,-0.047916755,-0.0890447,9.806129,0.0010301864,0.00505171,-0.9575113,0.0,0.0,-8.421707,-10.630035,-47.522736,46.1,152.1,1106.1,723.1,3.9,27023.26,7.9,13.1
11,-0.0064266585,-0.0037531406,0.0022153854,891.9206,Thu Nov 17 19:43:39 MST 2016,-0.04926978,-0.09061878,9.8061075,0.0010728807,0.0051484997,-0.95749843,0.0,0.0,-7.7194214,-11.039734,-47.428513,51.1,151.1,1128.1,715.1,11.9,27059.86,4.1,16.1
12,-6.73715E-4,-5.7566166E-4,-0.0031690598,891.9286,Thu Nov 17 19:43:40 MST 2016,-0.051516056,-0.09052369,9.806097,0.0011823017,0.0051772636,-0.9574067,0.0,0.0,-7.4531555,-11.030579,-48.166275,51.1,151.1,1128.1,715.1,11.9,27059.86,4.1,16.1
13,-0.0037730671,7.00362E-4,-6.599426E-4,891.9454,Thu Nov 17 19:43:41 MST 2016,-0.050529856,-0.08845614,9.806121,0.0011643252,0.005061877,-0.95739204,0.0,0.0,-7.4409485,-10.521317,-47.892,49.1,147.1,1133.1,517.1,15.1,28093.1,1.1,17.1
14,0.0016252436,0.0024212077,0.004224777,891.9468,Thu Nov 17 19:43:42 MST 2016,-0.04956204,-0.0880673,9.8061285,0.0011232962,0.005028537,-0.9574204,0.0,0.0,-7.719803,-11.039734,-47.42775,49.1,147.1,1133.1,517.1,15.1,28093.1,1.1,17.1
15,-1.0487828,-4.9243317,2.2344022,891.9505,Thu Nov 17 19:43:43 MST 2016,-0.22092466,8.114986,5.5016885,0.06340154,-0.46418983,-0.8782659,0.0,0.0,-5.1685333,-16.096878,-44.99588,45.1,150.1,1150.1,640.1,11.1,27420.19,19.1,3.1
16,0.5070762,-0.063892365,0.2623297,891.9442,Thu Nov 17 19:43:44 MST 2016,-0.252149,9.759079,-0.93122685,0.15219916,0.7240958,0.65451777,0.0,0.0,7.3467255,-49.38507,22.127914,45.1,150.1,1150.1,640.1,11.1,27420.19,19.1,3.1
17,0.26027694,0.0050268173,0.36243254,891.94824,Thu Nov 17 19:43:45 MST 2016,0.32571155,9.801192,0.030628158,0.09157509,0.7000374,0.70489085,0.0,0.0,4.7576904,-49.692917,20.55664,49.1,150.1,1145.1,610.1,12.9,27573.95,14.1,14.1
18,-0.050261825,-0.016489029,0.07926537,891.9546,Thu Nov 17 19:43:46 MST 2016,0.14043878,9.805531,-0.04718739,0.10510244,0.7009703,0.6990319,0.0,0.0,1.5914917,-51.78604,16.775131,49.1,150.1,1145.1,610.1,12.9,27573.95,14.1,14.1
19,-0.1033138,-0.033194542,-0.32985377,891.9531,Thu Nov 17 19:43:47 MST 2016,0.28921497,9.802323,-0.034663547,0.12853172,0.6965967,0.6976141,0.0,0.0,4.5661926,-50.294113,20.929337,47.1,147.1,1182.1,507.1,17.1,28153.33,18.9,17.1
20,-0.04434961,0.003227234,-0.0634194,891.9649,Thu Nov 17 19:43:48 MST 2016,0.6909086,9.768284,0.5231196,0.11609399,0.67812276,0.7221721,0.0,0.0,2.412796,-50.922012,17.696,47.1,147.1,1182.1,507.1,17.1,28153.33,18.9,17.1
21,-0.12091405,0.027941704,0.027886987,891.957,Thu Nov 17 19:43:49 MST 2016,-0.10488942,9.767685,0.8670107,0.08030644,0.6703325,0.73148066,0.0,0.0,4.895401,-51.284027,16.128159,44.1,148.1,1102.1,674.1,15.9,27252.82,13.1,11.1
22,-0.051439494,0.016436577,0.007868648,891.9601,Thu Nov 17 19:43:50 MST 2016,-0.1275329,9.740192,1.1325977,0.069537744,0.6613759,0.74164414,0.0,0.0,5.3081512,-52.62642,14.286423,44.1,148.1,1102.1,674.1,15.9,27252.82,13.1,11.1
23,0.18761522,-0.08296871,-1.5187263E-4,891.95776,Thu Nov 17 19:43:52 MST 2016,-0.082678236,9.740654,1.1327952,0.072305925,0.66107136,0.7416874,0.0,0.0,5.570984,-52.786255,13.3628845,44.1,153.1,1097.1,880.1,7.9,26363.88,6.9,13.1
24,-0.03519188,0.00948143,0.120336294,891.9359,Thu Nov 17 19:43:53 MST 2016,-0.13624834,9.74403,1.0980494,0.06956746,0.66270316,0.7404083,0.0,0.0,5.127716,-52.713013,13.639832,47.1,144.1,1125.1,774.1,2.1,26797.33,14.9,14.1
25,-0.1991978,0.011213303,0.100833535,891.9485,Thu Nov 17 19:43:54 MST 2016,0.11483481,9.708349,1.3802729,0.08320877,0.65015537,0.75020266,0.0,0.0,4.949188,-52.7153,13.361359,47.1,144.1,1125.1,774.1,2.1,26797.33,14.9,14.1
26,0.15454412,-0.014555931,0.12003076,891.9624,Thu Nov 17 19:43:55 MST 2016,-0.06957071,9.695127,1.4731182,0.07648366,0.64733464,0.75246245,0.0,0.0,5.0231934,-53.300858,11.700821,52.1,152.1,1093.1,765.1,13.9,26836.31,4.1,0.1
27,-0.14941822,0.0011711121,0.016580582,891.95746,Thu Nov 17 19:43:56 MST 2016,0.06102417,9.6870165,1.5259019,0.073396906,0.645611,0.755792,0.0,0.0,4.675293,-52.96707,11.513901,52.1,152.1,1093.1,765.1,13.9,26836.31,4.1,0.1
28,0.369482,-0.075881004,0.16312122,891.90576,Thu Nov 17 19:43:57 MST 2016,-0.10917515,9.69456,1.4744378,0.06524027,0.64851236,0.75369173,0.0,0.0,4.4963837,-52.971268,11.514282,49.1,147.1,1109.1,666.1,3.9,27291.58,0.1,4.1
29,0.18739066,-0.03271866,0.15080631,891.9089,Thu Nov 17 19:43:58 MST 2016,-0.47926176,9.694035,1.402287,0.04802259,0.65283775,0.7502788,0.0,0.0,5.826187,-53.19748,11.608124,49.1,147.1,1109.1,666.1,3.9,27291.58,0.1,4.1
30,0.028266191,-0.06838417,-0.09509611,891.91144,Thu Nov 17 19:43:59 MST 2016,-0.36043352,9.708295,1.3377166,0.058327306,0.65451765,0.74781877,0.0,0.0,6.645584,-52.419662,12.898254,53.1,152.1,1143.1,692.1,7.1,27166.97,3.1,18.1
31,0.12405583,-0.067214966,-0.06583309,891.9243,Thu Nov 17 19:44:00 MST 2016,-0.29512462,9.691229,1.4708366,0.06348945,0.6488276,0.7520802,0.0,0.0,6.101227,-52.85263,12.069321,53.1,152.1,1143.1,692.1,7.1,27166.97,3.1,18.1
32,-0.15112269,0.111003876,0.18350184,891.91547,Thu Nov 17 19:44:01 MST 2016,-1.0416032,9.653536,1.3764788,0.07693568,0.651076,0.7360526,0.0,0.0,8.588028,-53.048706,11.33194,53.1,153.1,1108.1,879.1,18.9,26367.77,11.1,13.1
33,0.09146774,-0.0146865845,0.113227606,891.9244,Thu Nov 17 19:44:02 MST 2016,-1.0935993,9.627105,1.5143574,0.06711593,0.6467493,0.7420054,0.0,0.0,11.82251,-51.699448,11.141968,53.1,153.1,1108.1,879.1,18.9,26367.77,11.1,13.1
34,0.49719477,-0.10083294,-0.100758076,891.93823,Thu Nov 17 19:44:03 MST 2016,-1.2573155,9.651158,1.2019548,0.043046754,0.66095716,0.73504966,0.0,0.0,11.629486,-52.39296,13.087463,53.1,150.1,1169.1,721.1,20.1,27032.38,5.1,6.1
35,0.17375433,-0.046172142,0.14495909,891.9436,Thu Nov 17 19:44:04 MST 2016,-1.6342355,9.617921,0.99762785,0.03702109,0.66915214,0.72372967,0.0,0.0,13.692093,-51.75705,14.195251,53.1,150.1,1169.1,721.1,20.1,27032.38,5.1,6.1
