n,a_x,a_y,a_z,p,time,g_x,g_y,g_z,rot_x,rot_y,rot_z,t,rh,mag_x,mag_y,mag_z,ext_lat,ext_lon,ext_alt,ext_p,ext_temp,ext_altEST,ext_rh,course,gps_speed,battery_percentage,battery_temp,a_actual_x,a_actual_y,a_actual_z
0,-0.31199956,-0.9544627,-0.25026226,884.11,Wed May 17 14:18:04 MDT 2017,-0.39728272,0.7910584,9.766616,0.025872285,-0.038206447,-0.9884763,15.983111,83.12171,-4.039,-13.801,-18.539,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,61,334,-0.7092823,-0.16340427,9.516354
1,-0.28489748,-0.2462002,-0.51814365,884.03,Wed May 17 14:18:05 MDT 2017,0.0394918,1.359504,9.711878,0.020224292,-0.066422515,-0.945574,15.983111,83.12171,-8.958,-14.715,-17.633,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,61,334,-0.24540567,1.1133038,9.193734
2,-0.22701614,-0.332442,-0.21516323,884.12,Wed May 17 14:18:06 MDT 2017,0.19170167,1.1051706,9.7422905,0.009003461,-0.05961857,-0.96060365,15.983111,83.12171,-8.311,-15.327,-17.633,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,61,334,-0.035314474,0.7727286,9.527127
3,-0.47126973,-0.17242944,-0.8873186,884.15,Wed May 17 14:18:07 MDT 2017,0.32103357,1.444349,9.694389,0.0012267914,-0.07517024,-0.96708053,16.314552,79.184654,-7.612,-15.953,-16.989,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,61,334,-0.15023616,1.2719196,8.807071
4,-0.8073226,0.01183331,-1.2954912,884.11,Wed May 17 14:18:08 MDT 2017,0.58526045,1.1709024,9.718891,-0.014914075,-0.06272145,-0.9695132,16.314552,79.184654,-8.331,-15.252,-17.291,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,61,334,-0.2220622,1.1827357,8.4234
5,-0.33746225,0.13941824,-0.52218723,884.06,Wed May 17 14:18:10 MDT 2017,0.62955487,1.2905188,9.700958,-0.013365445,-0.072229326,-0.96137434,16.515675,76.499825,-9.297,-15.885,-16.952,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,61,334,0.29209262,1.429937,9.178771
6,-0.16497272,0.49204266,-0.3130045,884.12,Wed May 17 14:18:11 MDT 2017,0.72701156,1.1581608,9.710845,-0.014914075,-0.06777893,-0.9371215,16.515675,76.499825,-12.905,-15.303,-16.633,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,61,334,0.56203884,1.6502035,9.3978405
7,-0.47064477,0.17509699,-0.1778059,884.13,Wed May 17 14:18:12 MDT 2017,0.3323796,1.570276,9.674407,0.018573951,-0.080630004,-0.90022457,16.515675,76.499825,-14.974,-15.541,-16.619,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,61,334,-0.13826515,1.745373,9.496601
8,-1.0468158,-0.41545898,-0.17774963,884.1,Wed May 17 14:18:13 MDT 2017,-0.16105898,1.1935745,9.73241,0.023676606,-0.054925673,-0.9596711,16.839603,74.43855,-7.307,-15.185,-18.479,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,61,334,-1.2078748,0.7781156,9.554661
9,-0.011970639,-0.12740815,-0.5740576,884.06,Wed May 17 14:18:14 MDT 2017,-0.46866536,1.3544365,9.701353,0.02813926,-0.06747497,-0.9952876,16.839603,74.43855,-0.148,-13.681,-18.438,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,61,334,-0.480636,1.2270284,9.1272955
10,0.10783219,-0.051716447,-0.56054306,884.15,Wed May 17 14:18:15 MDT 2017,-1.2594432,1.5762243,9.596859,-0.06545086,0.08184066,0.9944743,16.99264,73.47347,2.592,-14.649,-17.08,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,61,334,-1.151611,1.5245079,9.036316
11,-0.67410433,-0.15482903,-0.9532175,884.11,Wed May 17 14:18:16 MDT 2017,-1.0670788,1.3764704,9.650754,0.056178477,-0.06823927,-0.9958233,16.99264,73.47347,1.206,-13.986,-18.038,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,61,334,-1.7411832,1.2216414,8.697536
12,-0.07371169,-0.38702273,-0.502058,884.09,Wed May 17 14:18:17 MDT 2017,-0.85643566,1.3500904,9.675442,0.05289942,-0.06097751,-0.9835689,16.99264,73.47347,-2.157,-14.289,-18.347,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,61,334,-0.93014735,0.96306765,9.173384
13,0.31921494,0.12863743,-0.5153713,884.09,Wed May 17 14:18:19 MDT 2017,-1.322984,1.8507688,9.539118,0.08057307,-0.08462528,-0.9838261,17.226765,80.15121,-1.583,-16.68,-17.398,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,61,334,-1.003769,1.9794062,9.0237465
14,-0.3121518,-0.6847352,-0.12517357,884.13,Wed May 17 14:18:20 MDT 2017,-1.3637894,2.0967157,9.482312,0.089076035,-0.093915954,-0.9750843,17.226765,80.15121,-2.871,-18.302,-16.761,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,61,334,-1.6759412,1.4119805,9.357139
15,-0.1898439,-0.45593297,-0.048772812,884.11,Wed May 17 14:18:21 MDT 2017,-0.8683933,1.8493583,9.591462,0.061049923,-0.08526757,-0.977501,17.250154,80.15121,-4.164,-18.618,-17.395,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,61,334,-1.0582372,1.3934253,9.542689
16,-0.023932338,-0.20696044,-0.74461174,884.12,Wed May 17 14:18:22 MDT 2017,-1.0702178,1.9990205,9.540909,0.075582325,-0.088087924,-0.9696324,17.250154,80.15121,-4.821,-18.618,-17.395,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,61,334,-1.0941502,1.79206,8.796297
17,0.09959525,-0.35622084,-0.29023647,884.09,Wed May 17 14:18:23 MDT 2017,-1.0046035,2.038746,9.539637,0.07323242,-0.09067598,-0.96910554,17.250154,80.15121,-5.123,-18.928,-17.395,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,61,334,-0.90500826,1.6825253,9.2494
18,0.18032932,-0.12782657,-0.79494476,884.15,Wed May 17 14:18:24 MDT 2017,-1.1679375,2.0820937,9.511635,0.08206412,-0.09077288,-0.9676137,17.40116,73.54963,-4.82,-18.928,-17.7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,61,334,-0.9876082,1.9542671,8.71669
19,-0.36718225,0.08568716,-1.6224937,884.09,Wed May 17 14:18:26 MDT 2017,-1.0471925,2.0625103,9.529943,0.07398226,-0.09344943,-0.9712486,17.40116,73.54963,-4.806,-19.219,-17.381,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,61,334,-1.4143747,2.1481974,7.9074497
20,0.2719624,0.05342269,-0.41622925,884.07,Wed May 17 14:18:27 MDT 2017,-0.81125635,1.6291026,9.6363,0.05783583,-0.073063545,-0.9758946,17.40116,71.05707,-4.496,-17.945,-18.687,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,61,334,-0.53929394,1.6825253,9.220071
21,0.17623496,-0.04912722,-0.38459396,884.09,Wed May 17 14:18:28 MDT 2017,-0.79453754,1.6011685,9.642373,0.056826714,-0.07173031,-0.9746724,17.40116,71.05707,-4.806,-17.945,-18.687,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,61,334,-0.6183026,1.5520413,9.257779
22,0.25934303,-0.012768149,-0.6333122,884.1,Wed May 17 14:18:29 MDT 2017,-0.81898767,1.6683587,9.628926,0.058985356,-0.0744801,-0.9727497,17.40116,71.05707,-5.107,-18.247,-18.687,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,61,334,-0.55964464,1.6555905,8.995614
23,-0.06499386,-0.114777684,-0.45218658,884.14,Wed May 17 14:18:30 MDT 2017,-0.93099403,1.6943523,9.614198,0.066244826,-0.07416623,-0.9691627,17.461332,69.53808,-5.419,-18.247,-18.379,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,61,334,-0.9959879,1.5795746,9.162011
24,0.2775342,-0.009086609,-0.34358978,884.12,Wed May 17 14:18:32 MDT 2017,-0.8736904,1.5832742,9.638479,0.06243273,-0.06840252,-0.9687117,17.461332,69.53808,-5.419,-17.601,-19.02,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,61,334,-0.59615624,1.5741876,9.294889
25,-0.100627124,-0.22214699,-0.63849545,884.12,Wed May 17 14:18:33 MDT 2017,-0.9055361,1.4234377,9.660446,0.061309684,-0.060770176,-0.9710737,17.45574,68.47107,-5.413,-17.921,-19.02,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,61,334,-1.0061632,1.2012907,9.021951
26,0.23195422,-0.026909828,-0.5973358,884.18,Wed May 17 14:18:34 MDT 2017,-0.8299061,1.5705714,9.644425,0.060899507,-0.06769324,-0.96630096,17.45574,68.47107,-6.03,-17.921,-19.02,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,61,341,-0.5979519,1.5436616,9.04709
27,-0.045841575,-0.41319817,-0.3417902,884.16,Wed May 17 14:18:35 MDT 2017,-1.0201768,1.3595064,9.658228,0.06761803,-0.05484925,-0.9673012,17.45574,68.47107,-5.427,-17.291,-19.323,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,61,341,-1.0660183,0.9463082,9.316438
