n,a_x,a_y,a_z,p,time,g_x,g_y,g_z,rot_x,rot_y,rot_z,t,rh,mag_x,mag_y,mag_z,ext_lat,ext_lon,ext_alt,ext_p,ext_temp,ext_altEST,ext_rh,course,gps_speed,battery_percentage,battery_temp,a_actual_x,a_actual_y,a_actual_z
0,0.050932497,-0.022998169,-0.18181801,883.45,Wed May 17 12:05:34 MDT 2017,0.20345142,-0.09132496,9.804114,-0.011512855,-7.0124055E-4,-0.8895328,23.402979,74.20269,-20.616,-13.574,-49.369,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100,208,0.25438392,-0.11432313,9.622296
1,0.33247328,-0.0586418,-0.20188427,883.38,Wed May 17 12:05:35 MDT 2017,-0.08108212,-0.04191467,9.806225,0.0024291684,0.0037900817,-0.8774625,23.402979,74.20269,-20.623,-13.267,-49.359,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100,208,0.25139117,-0.10055647,9.604341
2,0.57699597,-0.0783539,-0.18454742,883.41,Wed May 17 12:05:36 MDT 2017,-0.33697724,-6.5475586E-4,9.8008585,0.0147997355,0.008403368,-0.8708176,23.402979,74.20269,-20.312,-13.267,-49.014,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100,208,0.24001873,-0.079008654,9.616311
3,0.8149605,-0.17467403,-0.16889954,883.42,Wed May 17 12:05:37 MDT 2017,-0.54680985,0.062146552,9.791196,0.025395906,0.01135057,-0.86176306,23.466715,70.85282,-20.614,-13.267,-49.014,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100,208,0.2681506,-0.11252748,9.622296
4,0.9708824,-0.20472951,-0.15119743,883.44,Wed May 17 12:05:38 MDT 2017,-0.68836665,0.10716579,9.781874,0.03279173,0.013308464,-0.85797834,23.466715,70.85282,-20.312,-13.267,-48.692,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100,208,0.2825158,-0.09756372,9.630676
5,1.4647707,-0.2808477,1.148799,883.41,Wed May 17 12:05:39 MDT 2017,-0.73453915,0.67768663,9.755592,0.04499562,-0.0012627051,-0.83960086,23.092506,68.33756,-20.312,-22.09,-46.496,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100,208,0.7302315,0.39683893,10.904391
6,0.3975135,0.47160578,-0.4109869,883.39,Wed May 17 12:05:40 MDT 2017,1.400532,4.747754,8.46568,0.05224267,-0.25793085,-0.8651862,23.092506,68.33756,-29.035,-36.456,-28.883,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100,208,1.7980455,5.21936,8.054693
7,0.7026939,-0.7691237,-0.030413628,883.43,Wed May 17 12:05:41 MDT 2017,-0.52791715,-0.025751276,-9.7923975,-0.91074973,0.4121711,0.019595992,23.092506,68.33756,-37.173,-39.407,46.195,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100,208,0.17477672,-0.79487497,-9.822811
8,-0.19319132,-0.39680398,0.3407631,883.42,Wed May 17 12:05:43 MDT 2017,0.20396523,0.4351112,-9.7948675,0.98751307,-0.1556689,0.007787665,22.685904,66.17113,-14.122,-41.569,77.821,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100,208,0.010773907,0.038307227,-9.454104
9,-0.18273574,-0.23486769,1.2428198,883.45,Wed May 17 12:05:44 MDT 2017,-0.34997416,1.1195252,-9.73625,0.993481,-0.09776781,-0.021608515,22.685904,66.17113,-0.402,-36.068,101.902,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100,208,-0.5327099,0.8846575,-8.49343
10,0.4452343,0.44133878,0.2967415,883.47,Wed May 17 12:05:45 MDT 2017,-0.6684936,3.5869057,-9.102615,0.09546749,0.97849214,0.17877084,21.857662,67.08079,-1.531,-18.551,108.657,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100,208,-0.22325931,4.0282445,-8.805874
