n,a_x,a_y,a_z,p,time,g_x,g_y,g_z,rot_x,rot_y,rot_z,t,rh,mag_x,mag_y,mag_z
0,0.85432553,0.5879824,-0.21264839,907.3568,Thu Nov 10 19:20:32 MST 2016,-0.58002794,2.6556392,9.422396,0.13454565,0.038587645,0.06358965,0.0,0.0,3.855896,26.865387,-26.957703
1,0.12664807,0.301126,-0.26447868,907.3425,Thu Nov 10 19:20:33 MST 2016,0.52697134,2.4901376,9.470581,0.13046356,-0.010678076,0.12545235,0.0,0.0,5.5740356,28.007507,-26.685333
2,-0.39481342,0.24241996,-0.018359184,907.3552,Thu Nov 10 19:20:34 MST 2016,0.28614712,2.143278,9.565295,0.110699005,0.007170822,0.19492127,0.0,0.0,7.896805,28.398132,-26.223373
3,-0.12709692,-0.21219873,0.06304836,907.36273,Thu Nov 10 19:20:35 MST 2016,-0.008970879,2.1309576,9.572321,0.10508426,0.030079335,0.26951426,0.0,0.0,11.424255,27.02446,-24.550629
4,-0.476204,0.046328306,-0.02898407,907.36865,Thu Nov 10 19:20:36 MST 2016,-0.0031768447,2.2935357,9.5346775,0.110431045,0.04088692,0.34350777,0.0,0.0,15.427017,23.114014,-24.156189
5,-0.18733408,0.49007034,-0.21034813,907.3725,Thu Nov 10 19:20:37 MST 2016,-0.12709232,2.4632225,9.4914055,0.11048353,0.06218051,0.4413164,0.0,0.0,18.000412,19.000244,-23.207855
6,-0.2043817,0.11488438,-0.3627777,907.37573,Thu Nov 10 19:20:38 MST 2016,-0.33237946,2.5514312,9.463093,0.102847025,0.08330113,0.51913446,0.0,0.0,18.467712,12.369156,-21.324158
7,-0.3475734,0.13297653,-0.11535931,907.37317,Thu Nov 10 19:20:39 MST 2016,-0.29250884,2.7691252,9.403019,0.096623085,0.10603503,0.65743524,0.0,0.0,17.752838,4.599762,-18.139648
8,0.1635745,0.08653879,-0.20742226,907.37476,Thu Nov 10 19:20:40 MST 2016,-0.19170873,2.9333856,9.355688,0.10137172,0.11276737,0.6904257,0.0,0.0,14.345932,-0.24223328,-17.560577
9,-0.011392381,0.05955887,0.031492233,907.3927,Thu Nov 10 19:20:41 MST 2016,0.047263328,2.9742947,9.344609,0.11475736,0.10192287,0.66784686,0.0,0.0,12.889099,-1.6357422,-17.369843
10,0.18042871,-0.3357315,0.08581066,907.37744,Thu Nov 10 19:20:42 MST 2016,0.10531444,2.8816125,9.373132,0.118118264,0.09028481,0.6288213,0.0,0.0,11.55777,-1.4972687,-17.186356
11,-0.16321956,-0.2934432,-4.4727325E-4,907.39185,Thu Nov 10 19:20:43 MST 2016,-0.14536412,2.7406704,9.414774,0.108595096,0.09048313,0.59253156,0.0,0.0,11.812592,-2.0000458,-17.552948
12,-0.13350466,-0.067065,0.057813644,907.37067,Thu Nov 10 19:20:44 MST 2016,-0.34421244,2.2196167,9.545952,0.08296278,0.08005664,0.5720733,0.0,0.0,11.850357,-0.37879944,-18.486786
13,-0.028954774,-0.015058279,0.0013608932,907.35736,Thu Nov 10 19:20:45 MST 2016,-0.46867692,2.062338,9.575881,0.072421566,0.08075324,0.57459146,0.0,0.0,11.92894,-0.80070496,-18.854141
14,0.27055794,0.417336,-0.084132195,907.37463,Thu Nov 10 19:20:46 MST 2016,-0.32874224,2.274859,9.533485,0.08732164,0.0793882,0.5560393,0.0,0.0,13.021851,0.24414062,-18.767166
15,0.14937256,0.28740048,-0.05181408,907.3665,Thu Nov 10 19:20:47 MST 2016,-0.2129776,2.4945533,9.481679,0.10223584,0.07820974,0.53335285,0.0,0.0,13.227844,1.4369965,-18.495941
16,0.5701648,1.166502,-0.4626274,907.328,Thu Nov 10 19:20:48 MST 2016,0.030469228,2.780615,9.404129,0.12535931,0.06933915,0.4884836,0.0,0.0,14.13765,2.3101807,-18.961334
17,-0.015509412,-0.4961512,0.0021333694,907.34985,Thu Nov 10 19:20:49 MST 2016,0.1537795,2.664018,9.436618,0.12618557,0.054255154,0.4430458,0.0,0.0,14.822769,4.970932,-20.732117
