n,a_x,a_y,a_z,p,time,g_x,g_y,g_z,rot_x,rot_y,rot_z,t,rh,mag_x,mag_y,mag_z,ext_lat,ext_lon,ext_alt,ext_p,ext_temp,ext_altEST,ext_rh,course,gps_speed
0,-0.38593754,-0.9492678,-0.7968788,886.09,Wed Mar 22 12:19:29 MDT 2017,-0.02466803,1.1168619,9.742813,0.044372015,0.053964883,0.85113597,16.810217,52.913223,94.486,-57.009,-77.328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0221456,0.2681639,-0.08721924,886.13,Wed Mar 22 12:19:30 MDT 2017,-1.2525876,-0.4189986,9.717297,-0.07836343,0.016114205,0.86135036,16.810217,52.913223,98.294,-45.625,-76.353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.04291123,-0.010109489,-0.21846104,886.12,Wed Mar 22 12:19:31 MDT 2017,0.18812923,0.0035254343,9.804845,0.008356245,-0.0049645263,0.85360503,16.810217,52.913223,93.083,-48.687,-79.722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.19626607,-0.11046653,-0.2681303,886.11,Wed Mar 22 12:19:32 MDT 2017,0.06589903,0.088320166,9.806031,0.005401525,0.0019454806,0.85318875,16.810217,52.913223,93.083,-48.687,-79.722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,-0.31963986,-1.5432025,6.4879627,886.13,Wed Mar 22 12:19:33 MDT 2017,-0.788277,0.07196553,9.7746525,-0.027451169,0.008637714,0.86054707,16.920929,52.913223,98.158,-48.687,-79.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,-0.14973068,0.124503136,-0.015688539,886.02,Wed Mar 22 12:19:34 MDT 2017,-4.6111393,8.599369,-0.97910225,0.4928854,0.55406165,0.23102857,16.920929,52.913223,97.392,-89.529,-4.769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,-0.2394948,0.55779743,1.0146493,886.04,Wed Mar 22 12:19:36 MDT 2017,-4.1454854,8.8047285,-1.2091782,0.5171654,0.5423936,0.2389041,16.920929,52.913223,96.107,-90.156,-5.339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,-1.9691811,-1.3592887,1.639141,886.12,Wed Mar 22 12:19:37 MDT 2017,-3.0670223,9.302651,0.47374213,0.44730234,0.52513474,0.37643778,16.920929,52.913223,93.974,-95.486,-15.422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,-0.66879153,-0.32868385,0.44931087,886.04,Wed Mar 22 12:19:38 MDT 2017,-2.7291791,9.396124,-0.6594021,0.5207646,0.5122737,0.32410768,16.920929,52.913223,92.218,-95.115,-11.219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.6242533,0.85543156,-1.3695633,886.07,Wed Mar 22 12:19:39 MDT 2017,-3.7127736,9.042198,0.7901666,0.39576352,0.5505306,0.38913468,16.920929,52.913223,95.088,-94.18,-14.964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,-3.6277847,1.1608167,-2.9068336,886.07,Wed Mar 22 12:19:40 MDT 2017,-0.896658,6.624529,7.1750965,0.060766865,0.36121917,0.88860804,16.920929,52.913223,23.095,-49.957,-1.101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.12203789,1.6677747,-3.8674097,886.02,Wed Mar 22 12:19:41 MDT 2017,-4.413046,7.824637,3.9332502,-0.22448123,0.49906737,0.83353204,16.920929,52.913223,15.058,-51.303,14.511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.6664307,0.60824585,-2.2991679,886.08,Wed Mar 22 12:19:42 MDT 2017,-4.2960405,8.774032,0.8548656,0.30729336,-0.6016517,-0.73717767,17.128502,52.694584,9.002,-49.7,21.524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,-0.021776438,0.5374613,0.12924886,886.02,Wed Mar 22 12:19:43 MDT 2017,-3.3684132,8.974702,-2.0685523,0.30904207,-0.7141147,-0.6273533,17.128502,52.694584,13.088,-49.095,24.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2.941292,0.18211555,0.9938421,885.99,Wed Mar 22 12:19:44 MDT 2017,-2.7946472,9.373742,-0.70234805,-0.05952552,0.729566,0.66658264,17.128502,52.694584,15.867,-50.9,9.773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,1.5822388,0.23068237,-1.1364149,886.07,Wed Mar 22 12:19:45 MDT 2017,0.9981121,9.45925,2.3867867,0.47887036,0.38599342,0.5565028,17.067467,52.7388,0.819,-53.19,-14.141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,1.6594748,0.5699949,-0.94818735,886.1,Wed Mar 22 12:19:46 MDT 2017,1.930032,9.316262,2.3775258,0.6117094,-0.06776057,0.07394459,17.067467,52.7388,-10.395,-49.334,-20.596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,-0.6780005,0.052969933,-0.13152444,886.02,Wed Mar 22 12:19:47 MDT 2017,0.23327754,9.619605,1.8918612,0.63519084,-0.008631675,0.008230473,17.21324,52.7388,-1.077,-49.067,-25.086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,-0.7029038,0.46535397,-0.6676662,886.04,Wed Mar 22 12:19:49 MDT 2017,-0.14584072,9.584308,2.071267,0.62747586,0.025861626,0.020212868,17.21324,52.7388,1.889,-46.817,-26.271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,-0.19193077,0.2952013,0.13686347,886.07,Wed Mar 22 12:19:50 MDT 2017,-0.41080952,9.656298,1.6605835,0.6436401,0.03257654,0.006156992,17.21324,52.7388,3.163,-44.454,-29.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,-0.3558319,0.16160202,0.9216169,886.06,Wed Mar 22 12:19:51 MDT 2017,-0.36542138,9.73064,1.1625358,0.6625237,0.042302955,0.019612715,17.21324,54.00005,3.816,-44.454,-29.263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,-0.18480268,0.31452465,0.8586936,886.05,Wed Mar 22 12:19:52 MDT 2017,-0.36287096,9.75848,0.90044606,0.6724333,0.043857403,0.02065695,17.21324,54.00005,4.122,-44.755,-28.945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,-0.7864987,0.19865322,0.94468355,886.04,Wed Mar 22 12:19:53 MDT 2017,-0.1203052,9.776788,0.7551997,0.677284,0.05274384,0.047968507,17.21324,54.00005,4.122,-45.384,-28.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,-0.7805855,0.2339077,0.5041566,886.04,Wed Mar 22 12:19:54 MDT 2017,-0.1178387,9.761286,0.93475866,0.67096007,0.046402134,0.042142022,17.40877,55.03523,3.482,-45.683,-27.665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,-0.4088331,0.38437176,-0.24277824,886.02,Wed Mar 22 12:19:55 MDT 2017,-0.33456653,9.761657,0.8766431,0.671707,0.06413561,0.044942766,17.40877,55.03523,4.856,-47.29,-24.655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,-0.10695815,0.31095505,0.021493196,886.03,Wed Mar 22 12:19:56 MDT 2017,-0.51613283,9.429256,2.6444504,0.47165075,0.37777787,0.46336743,17.624632,55.6864,23.837,-44.731,-18.197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
