n,a_x,a_y,a_z,p,time,g_x,g_y,g_z,rot_x,rot_y,rot_z,t,rh,mag_x,mag_y,mag_z,ext_lat,ext_lon,ext_alt,ext_p,ext_temp,ext_altEST,ext_rh,course,gps_speed,battery_percentage,battery_temp,a_actual_x,a_actual_y,a_actual_z
0,1.8912554E-4,0.05865723,-0.5052166,884.48,Tue May 16 12:08:41 MDT 2017,0.59417146,-0.88405824,9.748631,-0.03823978,0.038677607,-0.9813318,16.612068,71.362434,-6.565,-6.095,-43.867,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,65,319,0.5943606,-0.825401,9.243414
1,0.18896604,0.14222044,-0.49825478,884.5,Tue May 16 12:08:42 MDT 2017,0.4131757,-0.973607,9.74945,-0.031126253,0.044102028,-0.97629887,16.612068,71.362434,-6.251,-6.095,-43.861,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,65,319,0.60214174,-0.83138657,9.251195
2,0.3497352,0.23032731,-0.49907398,884.53,Tue May 16 12:08:43 MDT 2017,0.2506109,-1.0479472,9.747276,-0.024385054,0.049336195,-0.97388387,16.612068,71.2945,-6.251,-6.095,-43.861,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,65,319,0.6003461,-0.81761986,9.248202
3,0.44799307,0.29610592,-0.4867096,884.45,Tue May 16 12:08:44 MDT 2017,0.103271864,-1.0975649,9.744489,-0.01867237,0.05308501,-0.9691609,16.612068,71.2945,-6.251,-6.095,-43.861,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,65,319,0.55126494,-0.801459,9.257779
4,0.593029,0.2907098,-0.4857483,884.49,Tue May 16 12:08:45 MDT 2017,-0.0016611747,-1.1161108,9.742929,-0.014520724,0.055084694,-0.9654674,16.612068,71.2945,-6.251,-6.095,-43.861,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,65,319,0.59136784,-0.825401,9.257181
5,0.6266814,0.2981072,-0.48097038,884.45,Tue May 16 12:08:46 MDT 2017,-0.05027736,-1.1253039,9.741742,-0.012631771,0.056120224,-0.96361065,16.612068,72.2105,-6.251,-6.095,-43.528,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,65,319,0.57640404,-0.82719666,9.260772
6,0.65938926,0.31065482,-0.4745388,884.47,Tue May 16 12:08:47 MDT 2017,-0.04527652,-1.1085225,9.7436905,-0.012688268,0.055213306,-0.9634176,16.612068,72.2105,-6.251,-6.095,-43.528,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,65,319,0.61411273,-0.7978677,9.269152
7,0.55261886,0.25752717,-0.4985838,884.48,Tue May 16 12:08:48 MDT 2017,0.010018523,-1.0655702,9.748582,-0.014578589,0.052411113,-0.9647317,16.612068,72.2105,-6.251,-6.095,-43.528,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,65,319,0.5626374,-0.80804306,9.249998
8,0.43511876,0.29754746,-0.5141716,884.51,Tue May 16 12:08:50 MDT 2017,0.11913893,-1.0307717,9.7516,-0.018820614,0.049527913,-0.96838796,16.588661,73.22726,-6.251,-6.095,-43.528,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,65,319,0.5542577,-0.7332243,9.237429
9,0.36550623,0.18582428,-0.48968792,884.47,Tue May 16 12:08:51 MDT 2017,0.20790504,-0.99865574,9.753453,-0.022222497,0.04711266,-0.97123826,16.588661,73.22726,-6.251,-6.095,-43.528,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,65,319,0.5734113,-0.81283146,9.263765
10,0.3198435,0.15466142,-0.47875786,884.48,Tue May 16 12:08:52 MDT 2017,0.29426923,-0.9722813,9.753895,-0.025630696,0.045048412,-0.9740881,16.588661,73.22726,-6.251,-6.095,-43.528,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,65,319,0.61411273,-0.81761986,9.275137
