n,a_x,a_y,a_z,p,time,g_x,g_y,g_z,rot_x,rot_y,rot_z,t,rh,mag_x,mag_y,mag_z,ext_lat,ext_lon,ext_alt,ext_p,ext_temp,ext_altEST,ext_rh,course,gps_speed,battery_percentage,battery_temp,a_actual_x,a_actual_y,a_actual_z
0,0.019142032,-0.19749975,-0.28508472,873.37,Wed May 17 22:45:06 MDT 2017,-0.91876334,3.9270675,8.938927,0.19017239,-0.089866966,-0.6080702,12.649917,100.0,-18.565,-13.348,-44.575,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,56,278,-0.8996213,3.7295678,8.653842
1,-0.088510334,-0.21986389,-0.5595932,873.28,Wed May 17 22:45:07 MDT 2017,-0.7734023,3.9937243,8.923139,0.1892321,-0.09625188,-0.6013529,12.649917,100.0,-18.872,-13.348,-44.526,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,56,278,-0.8619126,3.7738605,8.363545
2,-0.60378766,0.027533531,-0.31406355,873.32,Wed May 17 22:45:08 MDT 2017,2.6238954,6.905476,6.449804,0.14572726,-0.38409916,-0.67897594,12.649917,100.0,-30.83,-33.276,-19.27,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,56,278,2.0201077,6.9330096,6.1357403
3,1.0016943,1.2746849,-2.327916,873.32,Wed May 17 22:45:09 MDT 2017,-0.66530895,8.661851,4.549735,0.33788872,-0.38917795,-0.6747766,12.740205,100.0,-14.601,-40.251,-15.745,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,56,278,0.33638534,9.936536,2.2218192
4,0.12641996,-4.370439,0.61194897,873.33,Wed May 17 22:45:10 MDT 2017,0.065116175,4.2938247,8.816418,0.2062625,-0.08915095,-0.37303662,12.740205,100.0,-8.648,-14.842,-49.346,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,56,278,0.19153613,-0.076614454,9.428367
5,0.084272414,-2.98556,0.060778618,873.34,Wed May 17 22:45:11 MDT 2017,0.152155,2.9568295,9.349032,0.10377362,-0.11218939,-0.6901411,12.212042,100.0,-7.571,-15.226,-48.616,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,56,278,0.23642741,-0.02873042,9.409811
6,-0.010923177,-2.2042644,-0.12191391,873.35,Wed May 17 22:45:12 MDT 2017,0.14140718,2.2180312,9.551477,0.049706757,-0.102777116,-0.8649856,12.212042,100.0,-7.571,-15.545,-48.616,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,56,278,0.130484,0.013766659,9.4295635
7,0.006133899,-1.5137272,-0.32003593,873.34,Wed May 17 22:45:13 MDT 2017,0.09442257,1.487391,9.692737,0.022501038,-0.07297835,-0.93200153,12.212042,100.0,-7.571,-15.545,-48.616,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,56,278,0.10055647,-0.02633622,9.372701
8,0.05367321,-0.8574546,-0.43412304,873.29,Wed May 17 22:45:14 MDT 2017,0.024138343,0.8430894,9.770312,0.01087865,-0.04181759,-0.9588309,12.400908,100.0,-7.27,-15.545,-48.922,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,56,278,0.077811554,-0.01436521,9.336189
9,0.14386716,-0.3336485,-0.34926605,873.3,Wed May 17 22:45:15 MDT 2017,-0.048099104,0.3300572,9.800976,0.006466271,-0.015950624,-0.9692826,12.400908,100.0,-7.27,-15.545,-48.922,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,56,278,0.095768064,-0.0035913025,9.45171
10,0.21622254,0.09387196,-0.4224081,873.29,Wed May 17 22:45:17 MDT 2017,-0.12584142,-0.10464586,9.8052845,0.0049359296,0.0063675786,-0.9740212,12.400908,94.47691,-7.27,-15.545,-48.922,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,56,278,0.090381116,-0.010773907,9.382876
