n,a_x,a_y,a_z,p,time,g_x,g_y,g_z,rot_x,rot_y,rot_z,t,rh,mag_x,mag_y,mag_z,ext_lat,ext_lon,ext_alt,ext_p,ext_temp,ext_altEST,ext_rh,course,gps_speed,battery_percentage,battery_temp,a_actual_x,a_actual_y,a_actual_z
0,1.123925,-1.5114374,0.033382416,884.43,Tue May 16 11:41:55 MDT 2017,-0.17582116,3.5818233,9.127432,0.033191677,-0.18541291,-0.97094744,25.427206,57.215916,-20.799,-57.838,41.108,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,76,280,0.94810385,2.070386,9.160814
1,-0.24401855,-1.6532578,0.37819147,884.44,Tue May 16 11:41:56 MDT 2017,-0.65679985,6.6236205,7.201851,0.056799304,-0.35928527,-0.92999244,25.427206,57.215916,-8.95,-61.228,41.151,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,76,280,-0.9008184,4.9703627,7.5800424
2,-1.8231974,-3.0835333,-2.3713589,884.39,Tue May 16 11:41:57 MDT 2017,0.53272253,1.7780948,9.629381,0.02327609,-0.09139048,-0.88839155,25.427206,57.215916,-243.42,-46.331,136.654,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,76,280,-1.2904748,-1.3054385,7.2580223
3,-0.6277123,-2.0350206,-0.0028409958,884.46,Tue May 16 11:41:58 MDT 2017,0.53134567,1.8392946,9.617955,0.050871696,-0.08339833,-0.67775816,25.427206,59.45709,-319.395,69.584,245.465,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,76,280,-0.09636662,-0.19572599,9.615114
4,-0.749663,-1.7979163,-0.15611553,884.44,Tue May 16 11:41:59 MDT 2017,0.3594081,1.5614889,9.674863,0.0466636,-0.06748302,-0.6709509,25.427206,59.45709,-319.718,70.085,246.292,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,76,280,-0.39025488,-0.23642741,9.518747
5,-0.5426024,-1.4836757,-0.21056747,884.41,Tue May 16 11:42:00 MDT 2017,0.14995332,1.1909846,9.732906,0.040493134,-0.046167437,-0.6611547,25.414001,59.45709,-319.413,70.085,246.292,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,76,277,-0.39264908,-0.29269117,9.522339
6,-0.25482336,-1.0709424,-0.25907516,884.43,Tue May 16 11:42:01 MDT 2017,-0.09832141,0.7980034,9.773633,0.03415832,-0.022814415,-0.649546,25.414001,59.45709,-319.113,70.085,246.292,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,76,277,-0.35314476,-0.272939,9.514558
7,-0.04853505,-0.6912997,-0.26300335,884.45,Tue May 16 11:42:02 MDT 2017,-0.35249373,0.4333245,9.790729,0.028454691,-4.567453E-4,-0.63754994,25.414001,59.45709,-319.113,70.085,246.292,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,76,277,-0.40102878,-0.25797522,9.527725
8,0.20144832,-0.45729,-0.27320957,884.47,Tue May 16 11:42:03 MDT 2017,-0.6210322,0.13945971,9.785972,0.02536185,0.019953923,-0.6265024,25.414001,54.125507,-318.806,70.085,245.982,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,76,277,-0.41958386,-0.31783026,9.512762
9,0.56130826,-0.17098778,-0.2628336,884.44,Tue May 16 11:42:05 MDT 2017,-0.8887153,-0.07381935,9.766019,0.025033642,0.037825253,-0.61669904,25.414001,54.125507,-318.806,70.387,246.287,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,76,277,-0.3274071,-0.24480712,9.503185
