n,a_x,a_y,a_z,p,time,g_x,g_y,g_z,rot_x,rot_y,rot_z,t,rh,mag_x,mag_y,mag_z,ext_lat,ext_lon,ext_alt,ext_p,ext_temp,ext_altEST,ext_rh,course,gps_speed,battery_percentage,battery_temp,a_actual_x,a_actual_y,a_actual_z
0,0.7039583,-0.021103233,-0.22195816,902.67,Sun May 21 05:36:14 MDT 2017,0.6631309,0.3365393,9.778414,0.036043003,-0.011776464,0.7058126,8.9153385,56.467808,97.514,1.605,37.248,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100,146,1.3670892,0.31543607,9.556456
2,-0.736614,0.5007702,-0.20480728,902.56,Sun May 21 05:36:34 MDT 2017,3.033252,0.48863363,9.312949,0.1568498,-0.025060711,0.9395815,12.207532,51.427036,75.205,-73.08,56.973,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100,149,2.296638,0.98940384,9.108142
4,-1.6856321,0.5860734,0.2474842,902.58,Sun May 21 05:36:54 MDT 2017,3.0539184,-0.27482715,9.314958,0.10595858,-0.1178485,0.7228742,10.186121,56.519547,89.721,-6.82,49.473,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100,152,1.3682863,0.31124622,9.562442
6,0.9714982,-0.23000681,-0.2524147,902.52,Sun May 21 05:37:14 MDT 2017,0.37583882,0.5855458,9.781936,0.03423784,0.009274934,0.7405406,6.897063,62.469105,88.475,-5.511,49.174,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100,152,1.347337,0.35553896,9.529521
8,-0.38050795,0.11466192,-0.12599277,902.63,Sun May 21 05:37:34 MDT 2017,1.7362247,0.2061611,9.6495285,0.07252559,-0.052436836,0.7325775,5.6953244,66.43339,87.86,-5.197,49.281,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100,143,1.3557167,0.320823,9.523536
10,0.04120934,-0.040729582,-0.19764137,902.63,Sun May 21 05:37:55 MDT 2017,1.3145074,0.3567642,9.7116,0.0618187,-0.032010365,0.73500144,5.3227396,67.15068,87.229,-4.885,48.937,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100,142,1.3557167,0.31603462,9.513959
12,-0.03539312,0.015605748,-0.20252228,902.62,Sun May 21 05:38:15 MDT 2017,1.3833287,0.32018104,9.703313,0.06313632,-0.035838604,0.7341016,3.7000985,72.67975,87.538,-4.885,49.021,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100,142,1.3479356,0.3357868,9.500791
14,-0.052608967,-0.012228191,-0.20510101,902.66,Sun May 21 05:38:35 MDT 2017,1.4101213,0.34202948,9.6987095,0.064853124,-0.03599046,0.7333937,3.2370136,73.91067,87.222,-4.57,49.021,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100,137,1.3575124,0.3298013,9.493608
16,-0.02915144,0.01527068,-0.22397137,902.65,Sun May 21 05:38:55 MDT 2017,1.395642,0.3241074,9.701419,0.06368608,-0.03620203,0.7332314,4.0377564,71.53955,86.619,-4.57,49.365,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100,139,1.3664906,0.3393781,9.4774475
18,-0.056007266,0.0037112534,-0.20646477,902.58,Sun May 21 05:39:15 MDT 2017,1.4093298,0.3230973,9.699474,0.06419738,-0.036699947,0.73332113,3.5767698,72.93727,86.334,-4.57,49.409,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100,139,1.3533225,0.32680854,9.49301
20,0.05603695,-0.010037996,-0.23091602,902.65,Sun May 21 05:39:35 MDT 2017,1.3236217,-0.057598203,9.716743,0.050058354,-0.045571644,0.766242,3.2517135,74.53703,136.595,-24.716,2.941,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100,136,1.3796587,-0.0676362,9.485827
