Time,,Tracking,,,,Sensor Data,,,,comment
Absolute, Since Launch ,lat,lng,Speed (m/s),course,Altitude (m),Pressure (Pa),Temperature (_C),Relative Humidity,
5/21/17 11:28,0.5,44.05533,-103.204,2,0,992.73,90510,12.65,33,Pa=90510/Rh=33.00/Ti=12.65 Tracksoar v1.2
5/21/17 11:29,1,44.0555,-103.20383,4,0,983.89,90408,12.68,37,Pa=90408/Rh=37.00/Ti=12.68 Tracksoar v1.2
5/21/17 11:29,1.5,44.05533,-103.204,2,0,993.34,90358,13.08,38,Pa=90358/Rh=38.00/Ti=13.08 Tracksoar v1.2
5/21/17 11:31,2,44.0555,-103.20383,2,0,1008.89,90446,14.37,33,Pa=90446/Rh=33.00/Ti=14.37 Tracksoar v1.2
5/21/17 11:32,2.5,44.0555,-103.20367,2,0,998.52,90464,14.14,33,Pa=90464/Rh=33.00/Ti=14.14 Tracksoar v1.2
5/21/17 11:33,3,44.05533,-103.20383,0,0,996.7,90473,13.86,33,Pa=90473/Rh=33.00/Ti=13.86 Tracksoar v1.2
5/21/17 11:33,3.5,44.0555,-103.20383,9,347,992.73,90465,13.64,33,Pa=90465/Rh=33.00/Ti=13.64 Tracksoar v1.2
5/21/17 11:34,4,44.05533,-103.20383,0,0,1009.5,90470,13.36,34,Pa=90470/Rh=34.00/Ti=13.36 Tracksoar v1.2
5/21/17 11:34,4.5,44.0555,-103.20383,2,0,990.3,90420,12,38,Pa=90420/Rh=38.00/Ti=12.00 Tracksoar v1.2
5/21/17 11:40,5,44.05533,-103.20383,2,0,990.6,90397,11.97,38,Pa=90397/Rh=38.00/Ti=11.97 Tracksoar v1.2
5/21/17 11:41,5.5,44.0555,-103.20383,2,0,979.93,90369,12.31,38,Pa=90369/Rh=38.00/Ti=12.31 Tracksoar v1.2
5/21/17 11:41,6,44.05533,-103.20383,2,0,988.47,90397,12.43,37,Pa=90397/Rh=37.00/Ti=12.43 Tracksoar v1.2
5/21/17 11:42,6.5,44.0555,-103.20383,2,0,998.22,90421,12.48,0,Pa=90421/Rh=0.00/Ti=12.48 Tracksoar v1.2
5/21/17 11:43,7,44.055,-103.20367,6,0,1006.45,90474,13.19,36,Pa=90474/Rh=36.00/Ti=13.19 Tracksoar v1.2
5/21/17 11:44,7.5,44.05517,-103.2035,2,0,983.59,90459,12.8,39,Pa=90459/Rh=39.00/Ti=12.80 Tracksoar v1.2
5/21/17 11:46,8,44.055,-103.2035,2,0,982.68,90419,12.37,45,Pa=90419/Rh=45.00/Ti=12.37 Tracksoar v1.2
5/21/17 11:49,8.5,44.055,-103.20367,2,0,1013.16,90554,11.92,39,Pa=90554/Rh=39.00/Ti=11.92 Tracksoar v1.2
5/21/17 11:50,9,44.05517,-103.2035,6,0,982.07,90319,12.97,39,Pa=90319/Rh=39.00/Ti=12.97 Tracksoar v1.2
5/21/17 11:51,9.5,44.055,-103.20367,2,0,992.73,90638,13.98,36,Pa=90638/Rh=36.00/Ti=13.98 Tracksoar v1.2
5/21/17 11:52,10,44.05517,-103.2035,2,0,974.75,90340,15.08,35,Pa=90340/Rh=35.00/Ti=15.08 Tracksoar v1.2
5/21/17 11:53,10.5,44.055,-103.20367,2,0,992.43,90387,15.91,33,Pa=90387/Rh=33.00/Ti=15.91 Tracksoar v1.2
5/21/17 11:54,11,44.05517,-103.20367,2,0,988.77,90379,16.22,32,Pa=90379/Rh=32.00/Ti=16.22 Tracksoar v1.2
5/21/17 11:54,11.5,44.05517,-103.2035,4,0,1007.06,90371,17.83,30,Pa=90371/Rh=30.00/Ti=17.83 Tracksoar v1.2
5/21/17 11:56,12,44.055,-103.20333,0,0,988.77,90379,18.18,30,Pa=90379/Rh=30.00/Ti=18.18 Tracksoar v1.2
5/21/17 11:58,12.5,44.055,-103.2035,0,0,986.33,90399,19.29,29,Pa=90399/Rh=29.00/Ti=19.29 Tracksoar v1.2
5/21/17 11:59,13,44.055,-103.20333,0,0,977.8,90414,20.17,27,Pa=90414/Rh=27.00/Ti=20.17 Tracksoar v1.2
5/21/17 12:00,13.5,44.055,-103.20317,7,113,984.5,90199,20.41,26,Pa=90199/Rh=26.00/Ti=20.41 Tracksoar v1.2
5/21/17 12:00,14,44.05433,-103.20067,35,112,1053.69,89315,20.93,25,Pa=89315/Rh=25.00/Ti=20.93 Tracksoar v1.2
5/21/17 12:01,14.5,44.053,-103.197,44,120,1046.68,88722,21.07,24,Pa=88722/Rh=24.00/Ti=21.07 Tracksoar v1.2
5/21/17 12:01,15,44.051,-103.1945,37,142,727.86,87986,21.18,24,Pa=87986/Rh=24.00/Ti=21.18 Tracksoar v1.2
5/21/17 12:02,15.5,44.04817,-103.19083,44,145,803.15,87350,21.63,23,Pa=87350/Rh=23.00/Ti=21.63 Tracksoar v1.2
5/21/17 12:02,16,44.04533,-103.188,44,151,1259.43,86865,22.1,23,Pa=86865/Rh=23.00/Ti=22.10 Tracksoar v1.2
5/21/17 12:03,16.5,44.04233,-103.186,37,154,1420.67,86320,22.33,22,Pa=86320/Rh=22.00/Ti=22.33 Tracksoar v1.2
5/21/17 12:03,17,44.03917,-103.184,54,154,1467,85739,22.45,21,Pa=85739/Rh=21.00/Ti=22.45 Tracksoar v1.2
5/21/17 12:04,17.5,44.0355,-103.18133,46,157,1506.32,85184,22.62,20,Pa=85184/Rh=20.00/Ti=22.62 Tracksoar v1.2
5/21/17 12:04,18,44.03217,-103.1795,48,157,1559.97,84620,22.82,20,Pa=84620/Rh=20.00/Ti=22.82 Tracksoar v1.2
5/21/17 12:05,18.5,44.029,-103.1775,46,158,1634.64,84042,22.95,19,Pa=84042/Rh=19.00/Ti=22.95 Tracksoar v1.2
